home,score,away,date,location,home_gols,away_gols
Sweden ,2–2, Paraguay,29 June 1950,"Estádio Durival Britto, Curitiba","[""Sundqvist  17'Palmér  26'""]","[""López  35'López Fretes  74'""]"
Italy ,2–0, Paraguay,2 July 1950,"Estádio do Pacaembu, São Paulo","[""Carapellese  12'Pandolfini  62'""]",[]
Uruguay ,8–0, Bolivia,2 July 1950,"Estádio Independência, Belo Horizonte","[""Míguez  14', 40', 51'Vidal  18'Schiaffino  23', 54'Pérez  83'Ghiggia  87'""]",[]
Uruguay ,2–2, Spain,9 July 1950,"Estádio do Pacaembu, São Paulo","[""Ghiggia  29'Varela  73'""]","[""Basora  37', 39'""]"
Brazil ,7–1, Sweden,9 July 1950,"Estádio do Maracanã, Rio de Janeiro","[""Ademir  17', 36', 52', 58'Chico  39', 88'Maneca  85'""]","[""Andersson  67'(pen.)""]"
Brazil ,6–1, Spain,13 July 1950,"Estádio do Maracanã, Rio de Janeiro","[""Ademir  15', 57'Jair  21'Chico  31', 55'Zizinho  67'""]","[""Igoa  71'""]"
Uruguay ,3–2, Sweden,13 July 1950,"Estádio do Pacaembu, São Paulo","[""Ghiggia  39'Míguez  77', 85'""]","[""Palmér  5'Sundqvist  40'""]"
Sweden ,3–1, Spain,16 July 1950,"Estádio do Pacaembu, São Paulo","[""Sundqvist  15'Mellberg  33'Palmér  80'""]","[""Zarra  82'""]"
Uruguay ,2–1, Brazil,16 July 1950,"Estádio do Maracanã, Rio de Janeiro","[""Schiaffino  66'Ghiggia  79'""]","[""Friaça  47'""]"
Brazil ,5–0, Mexico,16 June 1954,"Charmilles Stadium, Geneva","[""Baltazar  23'Didi  30'Pinga  34', 43'Julinho  69'""]",[]
Yugoslavia ,1–0, France,16 June 1954,"Stade Olympique de la Pontaise, Lausanne","[""Milutinović  15'""]",[]
Brazil ,1–1 (a.e.t.), Yugoslavia,19 June 1954,"Stade Olympique de la Pontaise, Lausanne","[""Didi  69'""]","[""Zebec  48'""]"
France ,3–2, Mexico,19 June 1954,"Charmilles Stadium, Geneva","[""Vincent  19'Cárdenas  46'(o.g.)Kopa  88'(pen.)""]","[""Lamadrid  54'Balcázar  85'""]"
West Germany ,4–1, Turkey,17 June 1954,"Wankdorf Stadium, Bern","[""Schäfer  14'Klodt  52'O. Walter  60'Morlock  84'""]","[""Suat  2'""]"
Hungary ,9–0, South Korea,17 June 1954,"Hardturm Stadium, Zürich","[""Puskás  12', 89'Lantos  18'Kocsis  24', 36', 50'Czibor  59'Palotás  75', 83'""]",[]
Hungary ,8–3, West Germany,20 June 1954,"St. Jakob Stadium, Basel","[""Kocsis  3', 21', 69', 78'Puskás  17'Hidegkuti  52', 54'J. Tóth  75'""]","[""Pfaff  25'Rahn  77'Herrmann  84'""]"
Turkey ,7–0, South Korea,20 June 1954,"Charmilles Stadium, Geneva","[""Suat  10', 30'Lefter  24'Burhan  37', 64', 70'Erol  76'""]",[]
West Germany ,7–2, Turkey,23 June 1954,"Hardturm Stadium, Zürich","[""O. Walter  7'Schäfer  12', 79'Morlock  30', 60', 77'F. Walter  62'""]","[""Mustafa  21'Lefter  82'""]"
Uruguay ,2–0, Czechoslovakia,16 June 1954,"Wankdorf Stadium, Bern","[""Míguez  71'Schiaffino  84'""]",[]
Austria ,1–0, Scotland,16 June 1954,"Hardturm Stadium, Zürich","[""Probst  33'""]",[]
Uruguay ,7–0, Scotland,19 June 1954,"St. Jakob Stadium, Basel","[""Borges  17', 47', 57'Míguez  30', 83'Abbadie  54', 85'""]",[]
Austria ,5–0, Czechoslovakia,19 June 1954,"Hardturm Stadium, Zürich","[""Stojaspal  3', 65'Probst  4', 21', 24'""]",[]
Switzerland ,2–1, Italy,17 June 1954,"Stade Olympique de la Pontaise, Lausanne","[""Ballaman  18'Hügi  78'""]","[""Boniperti  44'""]"
England ,4–4 (a.e.t.), Belgium,17 June 1954,"St. Jakob Stadium, Basel","[""Broadis  26', 63'Lofthouse  36', 91'""]","[""Anoul  5', 71'Coppens  67'Dickinson  94'(o.g.)""]"
Italy ,4–1, Belgium,20 June 1954,"Cornaredo Stadium, Lugano","[""Pandolfini  41'(pen.)Galli  48'Frignani  58'Lorenzi  78'""]","[""Anoul  81'""]"
England ,2–0, Switzerland,20 June 1954,"Wankdorf Stadium, Bern","[""Mullen  43'Wilshaw  69'""]",[]
Switzerland ,4–1, Italy,23 June 1954,"St. Jakob Stadium, Basel","[""Hügi  14', 85'Ballaman  48'Fatton  90'""]","[""Nesti  67'""]"
Austria ,7–5, Switzerland,26 June 1954,"Stade Olympique de la Pontaise, Lausanne","[""Wagner  25', 27', 53'A. Körner  26', 34'Ocwirk  32'Probst  76'""]","[""Ballaman  16', 39'Hügi  17', 19', 60'""]"
Uruguay ,4–2, England,26 June 1954,"St. Jakob Stadium, Basel","[""Borges  5'Varela  39'Schiaffino  46'Ambrois  78'""]","[""Lofthouse  16'Finney  67'""]"
West Germany ,2–0, Yugoslavia,27 June 1954,"Charmilles Stadium, Geneva","[""Horvat  9'(o.g.)Rahn  85'""]",[]
Hungary ,4–2, Brazil,27 June 1954,"Wankdorf Stadium, Bern","[""Hidegkuti  4'Kocsis  7', 88'Lantos  60'(pen.)""]","[""Djalma Santos  18'(pen.)Julinho  65'""]"
West Germany ,6–1, Austria,30 June 1954,"St. Jakob Stadium, Basel","[""Schäfer  31'Morlock  47'F. Walter  54'(pen.), 64'(pen.)O. Walter  61', 89'""]","[""Probst  51'""]"
Hungary ,4–2 (a.e.t.), Uruguay,30 June 1954,"Stade Olympique de la Pontaise, Lausanne","[""Czibor  13'Hidegkuti  46'Kocsis  111', 116'""]","[""Hohberg  75', 86'""]"
Austria ,3–1, Uruguay,3 July 1954,"Hardturm Stadium, Zürich","[""Stojaspal  16'(pen.)Cruz  59'(o.g.)Ocwirk  89'""]","[""Hohberg  22'""]"
West Germany ,3–2, Hungary,4 July 1954 (1954-07-04),"Wankdorf Stadium, Bern","[""Morlock  10'"", ""Rahn  18', 84'""]","[""Puskás  6'"", ""Czibor  8'""]"
Argentina ,1–3, West Germany,8 June 1958,"Malmö Stadion, Malmö","[""Corbatta  3'""]","[""Rahn  32', 79'Seeler  42'""]"
Northern Ireland ,1–0, Czechoslovakia,8 June 1958,"Örjans Vall, Halmstad","[""Cush  21'""]",[]
West Germany ,2–2, Czechoslovakia,11 June 1958,"Olympiastadion, Helsingborg","[""Schäfer  60'Rahn  71'""]","[""Dvořák  24'(pen.)Zikán  42'""]"
Argentina ,3–1, Northern Ireland,11 June 1958,"Örjans Vall, Halmstad","[""Corbatta  37'(pen.)Menéndez  56'Avio  60'""]","[""McParland  4'""]"
West Germany ,2–2, Northern Ireland,15 June 1958,"Malmö Stadion, Malmö","[""Rahn  20'Seeler  78'""]","[""McParland  18', 60'""]"
Czechoslovakia ,6–1, Argentina,15 June 1958,"Olympiastadion, Helsingborg","[""Dvořák  8'Zikán  17', 40'Feureisl  69'Hovorka  82', 89'""]","[""Corbatta  65'(pen.)""]"
Northern Ireland ,2–1 (a.e.t.), Czechoslovakia,17 June 1958,"Malmö Stadion, Malmö","[""McParland  44', 97'""]","[""Zikán  18'""]"
France ,7–3, Paraguay,8 June 1958,"Idrottsparken, Norrköping","[""Fontaine  24', 30', 67'Piantoni  52'Wisnieski  61'Kopa  70'Vincent  83'""]","[""Amarilla  20', 44'(pen.)Romero  50'""]"
Yugoslavia ,1–1, Scotland,8 June 1958,"Arosvallen, Västerås","[""Petaković  6'""]","[""Murray  49'""]"
Yugoslavia ,3–2, France,11 June 1958,"Arosvallen, Västerås","[""Petaković  16'Veselinović  63', 88'""]","[""Fontaine  4', 85'""]"
Paraguay ,3–2, Scotland,11 June 1958,"Idrottsparken, Norrköping","[""Agüero  4'Ré  45'Parodi  73'""]","[""Mudie  24'Collins  74'""]"
France ,2–1, Scotland,15 June 1958,"Eyravallen, Örebro","[""Kopa  22'Fontaine  44'""]","[""Baird  58'""]"
Paraguay ,3–3, Yugoslavia,15 June 1958,"Tunavallen, Eskilstuna","[""Parodi  20'Agüero  52'Romero  80'""]","[""Ognjanović  18'Veselinović  21'Rajkov  73'""]"
Sweden ,3–0, Mexico,8 June 1958,"Råsunda Stadium, Solna","[""Simonsson  17', 64'Liedholm  57'(pen.)""]",[]
Hungary ,1–1, Wales,8 June 1958,"Jernvallen, Sandviken","[""Bozsik  5'""]","[""J. Charles  27'""]"
Mexico ,1–1, Wales,11 June 1958,"Råsunda Stadium, Solna","[""Belmonte  89'""]","[""I. Allchurch  32'""]"
Sweden ,2–1, Hungary,12 June 1958,"Råsunda Stadium, Solna","[""Hamrin  34', 55'""]","[""Tichy  77'""]"
Sweden ,0–0, Wales,15 June 1958,"Råsunda Stadium, Solna",[],[]
Hungary ,4–0, Mexico,15 June 1958,"Jernvallen, Sandviken","[""Tichy  19', 46'Sándor  54'Bencsics  69'""]",[]
Wales ,2–1, Hungary,17 June 1958,"Råsunda Stadium, Solna","[""I. Allchurch  55'Medwin  76'""]","[""Tichy  33'""]"
Brazil ,3–0, Austria,8 June 1958,"Rimnersvallen, Uddevalla","[""Altafini  37', 85'Nílton Santos  50'""]",[]
